tag,dominio,responses,patterns
definicao_arboviroses,arboviroses,"Arboviroses são doenças causadas por vírus transmitidos por artrópodes, como mosquitos. No Brasil, os principais vetores são os mosquitos do gênero Aedes, especialmente o Aedes aegypti, que transmite dengue, zika, chikungunya e febre amarela urbana.","['O que são arboviroses?', 'Como as arboviroses são transmitidas?', 'Explique o que é uma arbovirose']"
diagnostico,arboviroses,"O diagnóstico pode ser clínico, baseado nos sintomas, e laboratorial, por meio de exames como sorologia (detecção de anticorpos IgM e IgG), RT-PCR e testes rápidos.","['Como é feito o diagnóstico?', 'Como saber se estou com alguma arbovirose?', 'Existe exame para detectar dengue?']"
doenca_negligenciada,arboviroses,"As arboviroses como dengue, Zika e chikungunya são consideradas doenças tropicais negligenciadas, especialmente em regiões de baixa renda. Apesar do grande impacto na saúde pública, elas historicamente receberam menos investimentos em pesquisa, prevenção e tratamento do que outras doenças.","['Abroviroses são doenças tropicais negligênciadas?', 'o que são doenças tropicais negligênciadas?']"
,,,
vacinas,arboviroses,"Em 2024, o Brasil passou a oferecer a vacina contra a dengue pelo SUS, disponível nas Unidades Básicas de Saúde e com eficácia comprovada. Para Zika e Chikungunya, ainda não há vacinas disponíveis para uso público.","['Existe vacina contra dengue?', 'Há vacina para zika ou chikungunya?', 'Posso me vacinar contra febre amarela?']"
prevencao,arboviroses,"Eliminar criadouros do mosquito, evitando água parada em recipientes.

Usar repelentes aprovados pela Anvisa.

Instalar telas em portas e janelas.

Utilizar mosquiteiros, especialmente durante o sono.","['Como se proteger dessas doenças?', 'Como evitar pegar dengue?', 'Dicas para prevenir arboviroses']"
quando_procurar_medico,arboviroses,"Ao apresentar sintomas como febre alta, dores intensas no corpo, manchas na pele, vômitos persistentes ou sinais de desidratação, é fundamental procurar uma unidade de saúde para avaliação e tratamento adequados.","['Quando devo ir ao médico?', 'Quando procurar atendimento médico?', 'Quais sinais indicam que devo buscar ajuda médica?']"
outras_doencas,arboviroses,"Além da dengue, zika e chikungunya, o Aedes aegypti também pode transmitir a febre amarela urbana.","['Quais outras doenças o Aedes aegypti transmite?', 'O mosquito transmite apenas dengue, zika e chikungunya?', 'Aedes aegypti transmite febre amarela?']"
agua_suja,arboviroses,"O Aedes aegypti pode se adaptar e utilizar água suja para reprodução, especialmente em ambientes urbanos.","['O Aedes se reproduz em água suja?', 'Mosquito da dengue gosta de água suja?', 'É verdade que o mosquito pode usar água suja?']"
brasil,arboviroses,"As arboviroses no Brasil — como dengue, Zika e chikungunya — representam um importante problema de saúde pública. Transmitidas principalmente pelo mosquito Aedes aegypti, essas doenças afetam milhares de pessoas todos os anos, com surtos recorrentes em diversas regiões do país, especialmente nas épocas mais quentes e chuvosas.","['arboviroses no Brasil', 'Por que no Brasil há uma alto numero de casos reportados', 'Porque no Brasil']"
dengue_reinfeccao,dengue,"Existem quatro sorotipos do vírus da dengue (DENV-1 a DENV-4). A infecção por um sorotipo confere imunidade apenas contra ele, permitindo infecções subsequentes por outros sorotipos.","['Posso ter dengue mais de uma vez?', 'Existe mais de um tipo de dengue?', 'Já tive dengue, posso pegar de novo?']"
o_que_e_chikungunya,chikungunya,"Chikungunya é uma doença viral transmitida principalmente pelos mosquitos Aedes aegypti e Aedes albopictus. Caracteriza-se por febre alta de início súbito e dores intensas nas articulações, especialmente em mãos, pés, tornozelos e pulsos. Outros sintomas incluem dor de cabeça, dores musculares, manchas vermelhas na pele e fadiga.","['O que é chikungunya?', 'Me explique o que é chikungunya', 'Quais são os sintomas da chikungunya?']"
transmissao_chikungunya,chikungunya,A transmissão ocorre pela picada da fêmea infectada dos mosquitos Aedes aegypti e Aedes albopictus. O mosquito adquire o vírus ao picar uma pessoa infectada durante o período de viremia (quando o vírus circula no sangue).,"['Como ocorre a transmissão da chikungunya?', 'O vírus da chikungunya passa como?', 'Como o mosquito transmite chikungunya?']"
sintomas_chikungunya,chikungunya,"Os principais sintomas são: febre alta de início súbito, dores intensas e inchaço nas articulações, dor de cabeça, dores musculares, manchas vermelhas na pele, fadiga, náuseas e vômitos. Em casos mais graves, pode haver manifestações atípicas, como problemas neurológicos e cardiovasculares.","['Quais são os sintomas da chikungunya?', 'O que a pessoa sente quando está com chikungunya?', 'Como saber se estou com chikungunya?']"
incubacao_chikungunya,chikungunya,"O período de incubação varia de 2 a 12 dias após a picada do mosquito infectado. Em geral, os sintomas aparecem entre 4 e 7 dias após a exposição.","['Qual o período de incubação da chikungunya?', 'Depois de quanto tempo aparecem os sintomas da chikungunya?', 'Quanto tempo leva para a chikungunya se manifestar?']"
tratamento_chikungunya,chikungunya,"Não há tratamento antiviral específico para chikungunya. O tratamento é sintomático, focando no alívio da dor e da febre, com analgésicos e anti-inflamatórios. É importante evitar automedicação e procurar orientação médica.","['Qual o tratamento para chikungunya?', 'Existe remédio para chikungunya?', 'Como tratar chikungunya?']"
sequelas_chikungunya,chikungunya,"Em alguns casos, as dores articulares podem persistir por meses ou anos após a fase aguda, caracterizando a forma crônica da chikungunya. Isso é mais comum em idosos e pessoas com comorbidades.","['A chikungunya pode deixar sequelas?', 'Quais são as complicações da chikungunya?', 'É verdade que as dores continuam depois da chikungunya?', 'Há sequelas da chikungunya?']"
diagnostico_chikungunya,chikungunya,"O diagnóstico é clínico, baseado nos sintomas e histórico do paciente. Pode ser confirmado com exames laboratoriais como sorologia e RT-PCR, disponíveis no SUS.","['Como é feito o diagnóstico da chikungunya?', 'Qual exame detecta chikungunya?', 'Tem teste para saber se estou com chikungunya?']"
vacina_chikungunya,chikungunya,"Atualmente, não há vacina aprovada para uso público contra a chikungunya no Brasil. Pesquisas estão em andamento para o desenvolvimento de uma vacina eficaz.","['Existe vacina contra chikungunya?', 'Posso me vacinar contra chikungunya?', 'Já tem vacina para chikungunya no Brasil?']"
prevencao_chikungunya,chikungunya,"As principais formas de prevenção são: eliminar criadouros do mosquito (evitar água parada), usar repelentes aprovados pela Anvisa, instalar telas em portas e janelas, usar roupas que cubram o corpo e dormir com mosquiteiros.","['Como prevenir chikungunya?', 'O que fazer para não pegar chikungunya?', 'Quais as formas de prevenção contra chikungunya?']"
transmissao_pessoa_pessoa,chikungunya,"Não. A chikungunya é transmitida exclusivamente pela picada de mosquitos infectados. Não há transmissão direta entre pessoas. No entanto, pode haver transmissão vertical (de mãe para filho) durante o parto.","['Chikungunya passa de uma pessoa para outra?', 'É possível pegar chikungunya de alguém?', 'Chikungunya é contagiosa?']"
evolucao_chikungunya,chikungunya,"Sim. A chikungunya evolui em três fases: Aguda (0 a 15 dias após o início dos sintomas), caracterizada por febre alta e dores articulares intensas; Subaguda (16 a 90 dias), quando os sintomas começam a diminuir, mas ainda podem persistir; e Crônica (a partir de 91 dias), com possibilidade de dores articulares prolongadas e outras complicações persistentes.","['Como evolui a chikungunya?', 'Quais são as fases da chikungunya?', 'A chikungunya tem fases?']"
consequencias_chikungunya_cronica,chikungunya,"A chikungunya crônica pode causar dores articulares persistentes, limitação de movimentos, depressão, impacto psicológico, prejuízos na qualidade de vida, afastamento do trabalho e, em casos graves, até aposentadoria por invalidez. Idosos e pessoas com doenças pré-existentes são mais suscetíveis às complicações prolongadas.","['Quais as consequências da chikungunya crônica?', 'A fase crônica da chikungunya é perigosa?', 'O que pode acontecer na chikungunya crônica?']"
o_que_e_zika,zika,"O Zika é um vírus transmitido principalmente pela picada do mosquito *Aedes aegypti*. A infecção costuma ser leve e pode causar febre baixa, erupções cutâneas, dores nas articulações e conjuntivite. Em muitos casos, as pessoas não apresentam sintomas.","['O que é o vírus Zika?', 'Explique o que é Zika', 'Você pode me dizer o que é o vírus Zika?']"
